name,text,race
Unrelenting Warrior,Deathrattle: Summon a Spectral Warrior for your opponent.,NULL
Shadow Madness,This minion has switched controllers this turn.,NULL
Argent Horserider,"Charge
Divine Shield",NULL
Opponent Concede,Force your opponent to concede.,NULL
Small-Time Buccaneer,Has +2 Attack while you have a weapon equipped.,PIRATE
Hungry Naga,NULL,NULL
Blessing of Kings,Give a minion +4/+4. (+4 Attack/+4 Health),NULL
Activate!,"Hero Power
Activate a random Tron.",NULL
Lord Slitherspear,"At the end of your turn, summon 1/1 Hungry Naga for each enemy minion.",NULL
Imp,NULL,DEMON
Power of the People,Increased Attack.,NULL
Spawn of N'Zoth,Deathrattle: Give your minions +1/+1.,NULL
Dire Fate: Manaburst,Minions gain Deathrattle: Random card in owner's hand costs (0).,NULL
Cursed Blade,Double all damage dealt to your hero.,NULL
Divine Spirit,This minion has double Health.,NULL
Armor 100,Give target Hero +100 Armor,NULL
Brawl,Destroy all minions except one. (chosen randomly),NULL
Guardian of Icecrown,Taunt,NULL
Ley Lines,"Passive Hero Power
Both players have
Spell Damage +3.",NULL
Smuggling,+1/+1 from Trogg Beastrager.,NULL
Bomb Salvo,Deal Attack damage to up to 3 random targets.,NULL
Spectral Spider,NULL,NULL
Medivh,NULL,NULL
Add 4 to Health.,Adds 4 health to a damaged character. Does NOT heal.,NULL
Elemental Destruction,Deal 4-5 damage to all minions. Overload: (5).,NULL
Dark Iron Bouncer,Always wins Brawls.,NULL
Infest,"Give your minions ""Deathrattle: Add a random Beast to your hand.""",NULL
Confused,Swapped Attack and Health.,NULL
Gluth,NULL,NULL
Force of Nature,Summon three 2/2 Treants.,NULL
Alexstrasza,Battlecry: Set a hero's remaining Health to 15.,DRAGON
Rat,NULL,BEAST
Corrupted Egg,"When this minion has 5 or more Health, it hatches.",NULL
"Yogg-Saron, Hope's End",Battlecry: Cast a random spell for each spell you've cast this game (targets chosen randomly).,NULL
Rock Out,Summon 3 Firesworn. Overload: (2),NULL
Stormcrack,Deal 4 damage to a minion. Overload: (1),NULL
Hungry Crab,Battlecry: Destroy a Murloc and gain +2/+2.,BEAST
The Darkness,Take the Shortcut?,NULL
Piranha Launcher,"After your hero attacks,
summon a 1/1 Piranha.",NULL
Unearthed Raptor,Battlecry: Choose a friendly minion. Gain a copy of its Deathrattle effect.,NULL
Quartermaster,Battlecry: Give your Silver Hand Recruits +2/+2.,NULL
Shadow Sensei,Battlecry: Give a Stealthed minion +2/+2.,NULL
Bananas,Give a friendly minion +1/+1. (+1 Attack/+1 Health),NULL
Frost Elemental,Battlecry: Freeze a character.,NULL
Fanatic Devotion,Increased Stats.,NULL
Weapon Buff Enchant,NULL,NULL
Safe,This minion is safe from attacks and cannot have taunt.,NULL
Clockwork Giant,Costs (1) less for each card in your opponent's hand.,MECHANICAL
Master of Disguise,Battlecry: Give a friendly minion Stealth until your next turn.,NULL
Looming Presence,Draw 3 cards. Gain 6 Armor.,NULL
Visions of the Barbarian,"Secret: When your opponent summons a minion with Charge, THUNDER FURY!",NULL
Spectral Warrior,"At the start of your turn, deal 1 damage to your hero.",NULL
Vicious Swipe,Deal attack damage to 2 random minions.,NULL
Sacred Trial,"Secret: After your opponent has at least 3 minions and plays another, destroy it.",NULL
Summoning Stone,"Whenever you cast a spell, summon a random minion of the same Cost.",NULL
Voidcaller,Deathrattle: Put a random Demon from your hand into the battlefield.,DEMON
Nerubian,NULL,NULL
Boom Bot,Deathrattle: Deal 1-4 damage to a random enemy.,MECHANICAL
"Staff, Two Pieces",Add a random epic card to your hand. It costs (3) less.,NULL
Fjola Lightbane,"Whenever you target this minion with a spell, gain Divine Shield.",NULL
Power Word: Shield,+2 Health.,NULL
Shaky Zipgunner,"Deathrattle: Give a random
minion in your hand +2/+2.",NULL
Shado-Pan Rider,Combo: Gain +3 Attack.,NULL
Ancient Power,"Hero Power
Give each player a random card. It costs (0).",NULL
"HERE, TAKE BUFF.",NULL,NULL
Unchained!,Your next Dragon costs (2) less.,NULL
Staff of Origination,"Passive Hero Power
Your hero is Immune.",NULL
Selfless Hero,Deathrattle: Give a random friendly minion Divine Shield.,NULL
Loatheb,Battlecry: Enemy spells cost (5) more next turn.,NULL
Silverback Patriarch,Taunt,BEAST
Micro Machine,"At the start of each turn, gain +1 Attack.",MECHANICAL
Dark Wispers,+5/+5 and Taunt.,NULL
Discarded Armor,Deathrattle: Current turn player gains 5 armor.,NULL
Arch-Thief Rafaam,Battlecry: Discover a powerful Artifact.,NULL
Consume,Increased stats.,NULL
Undercity Valiant,Combo: Deal 1 damage.,NULL
Muster for Battle,Summon three 1/1 Silver Hand Recruits. Equip a 1/4 Weapon.,NULL
Big Game Hunter,Battlecry: Destroy a minion with 7 or more Attack.,NULL
Thirsty Blades,NULL,NULL
Victory!,NULL,NULL
Full Belly,+2/+2.  Full of Murloc.,NULL
Baron Rivendare,NULL,NULL
Eruption,"Hero Power
Deal 3 damage to the left-most enemy minion.",NULL
Atramedes,NULL,NULL
Felbloom,Deal 6 damage to all minions.,NULL
Grand Crusader,Battlecry: Add a random Paladin card to your hand.,NULL
Refreshment Vendor,Battlecry: Restore 4 Health to each hero.,NULL
White Knight,"Charge.
Can't Attack Heroes.",NULL
Sense Demons,"Draw 2 Demons
from your deck.",NULL
Sun Raider Phaerix,Your other minions are Immune.,NULL
Flame Wreath,"Secret: When an enemy attacks, deal 10 damage to all other enemies.",NULL
Explosive Runes,Summon two 'Explosive Runes.',NULL
Zwick,Battlecry: Complain about bacon prices.,NULL
Old Horde,"Hero Power
Summon two 1/1 Orcs with Taunt. Get a new Hero Power.",NULL
Wrathguard,"Whenever this minion takes damage, also deal that amount to your hero.",DEMON
Overloading,Increased stats.,NULL
Spider Tank,NULL,MECHANICAL
Nefarian Strikes!,"Hero Power
Nefarian rains fire from above!",NULL
Glaivezooka,+1 Attack.,NULL
Bananas,Has +1/+1.,NULL
Black King,NULL,NULL
Mayor Noggenfogger,All targets are chosen randomly.,NULL
Earth Elemental,Taunt. Overload: (3),NULL
Treant,NULL,NULL
Damage 5,Deal 5 damage.,NULL
Lightwell,"At the start of your turn, restore 3 Health to a damaged friendly character.",NULL
Ooze,Taunt,NULL
Jade Golem,NULL,NULL
Legion,"Hero Power
Summon two 6/6 Abyssals.",NULL
Equality,Change the Health of ALL minions to 1.,NULL
Boar,Charge,BEAST
Power of the Bluff,Increased Attack.,NULL
Recruiter,Inspire: Add a 2/2 Squire to your hand.,NULL
Moira Bronzebeard,"Thaurissan's Hero Power can't be used.
Never attacks minions unless they have Taunt.",NULL
Eye of Orsis,Discover a minion and gain 3 copies of it.,NULL
True Love,"Hero Power
If you don't have Romulo, summon him.",NULL
Bananas,This minion has +1/+1. (+1 Attack/+1 Health),NULL
Hour of Corruption,Increased Attack.,NULL
Lightning Jolt,"Hero Power
Deal 2 damage.",NULL
Cleave,Deal 4 damage to a minion and its owner.,NULL
Potion of Madness,Gain control of an enemy minion with 2 or less Attack until end of turn.,NULL
Sapphiron,NULL,NULL
Ogre Magi,Spell Damage +1,NULL
Armor 5,Give target Hero +5 Armor,NULL
Sunfury Protector,Battlecry: Give adjacent minions Taunt.,NULL
Bomb Lobber,Battlecry: Deal 4 damage to a random enemy minion.,NULL
Wisp,NULL,NULL
Evolve Spines,Give your hero +4 Attack this turn.,NULL
Polymorph,This minion has been transformed into a 1/1 Sheep.,NULL
Moo...,Summon 3 Hell Bovines. Give all Hell Bovines Taunt.,NULL
Fate 8 Rand 2 armor each turn,NULL,NULL
Echolocate,"Hero Power
Equip a weapon that grows as your opponent plays cards.",NULL
Jaws,"Whenever a minion with Deathrattle dies, gain +2 Attack.",NULL
Darkshire Alchemist,Battlecry: Restore 5 Health.,NULL
Screwjank Clunker,Battlecry: Give a friendly Mech +2/+2.,MECHANICAL
Stormforged Axe,Overload: (1),NULL
Endless Hunger,"Hero Power
Summon a Hungry Naga.",NULL
TIME FOR SMASH,Deal 5 damage to a random enemy. Gain 5 Armor.,NULL
Garr,"Whenever this minion takes damage, summon a 2/3 Elemental with Taunt.",NULL
The Majordomo,"Hero Power
Summon a 3/3 Flamewaker Acolyte.",NULL
Kobold Geomancer,Spell Damage +1,NULL
Shadow Volley,Deal 3 damage to all non-Demon minions.,NULL
Twilight Flamecaller,Battlecry: Deal 1 damage to all enemy minions.,NULL
Disguised,Stealthed until your next turn.,NULL
Gearmaster Mechazod,"Boss
At the beginning of each turn, Mechazod strikes!",NULL
Naga Repellent,Change the Attack of all Hungry Naga to 1.,NULL
Dust Devil,Windfury. Overload: (2),NULL
Jade Claws,"Battlecry: Summon a{1} {0} Jade Golem.
Overload: (1)",NULL
Team Player Enchantment,Immune ahile attacking,NULL
Barrel,Is something in this barrel?,NULL
Tinkmaster Overspark,"Battlecry: Transform
another random minion
into a 5/5 Devilsaur
 or a 1/1 Squirrel.",NULL
Enable Emotes,"Enable emotes for your VS.AI game. (not in tutorials, though)",NULL
Unstable Portal,"Hero Power
Add a random minion to your hand. It costs (3) less.",NULL
Battle Axe,NULL,NULL
Slime,Taunt,NULL
Open the Gates,"Hero Power
Summon three 1/1 Whelps.",NULL
Might of Zul'Farrak,Multiplying Attack.,NULL
Mire Keeper,"Choose One - Summon a
2/2 Slime; or Gain an
empty Mana Crystal.",NULL
Savage Roar,Give your characters +2 Attack this turn.,NULL
'Inspired',This minion has +2 Attack this turn.,NULL
Fel Orc Soulfiend,"At the start of your turn, deal 2 damage to this minion.",NULL
Brood Affliction: Blue,"While this is in your hand, Chromaggus' spells cost (3) less.",NULL
Brood Affliction,"Hero Power
At the end of your turn, add a Brood Affliction card to your opponent's hand.",NULL
Anyfin Can Happen,Summon 7 Murlocs that died this game.,NULL
Unrelenting Rider,Deathrattle: Summon a Spectral Rider for your opponent.,NULL
Pick Your Fate Randon 2nd,NULL,NULL
Boss HP Swapper,NULL,NULL
Betrayal,Force an enemy minion to deal its damage to the minions next to it.,NULL
Netherspite,NULL,NULL
Shadow Tower Give My minions Stealth,"Can't Attack.
Stealth.",NULL
Goldthorn,+6 Health.,NULL
Atiesh,"After you cast a spell,
summon a random
minion of that Cost.
Lose 1 Durability.",NULL
Crown of Kael'thas,Deal 10 damage randomly split among ALL characters.,NULL
Caller Devotion,NULL,NULL
Coldlight Oracle,Battlecry: Each player draws 2 cards.,MURLOC
Destroy Deck,Delete an opponent's deck,NULL
Fiery Bat,Deathrattle: Deal 1 damage to a random enemy.,BEAST
Razorgore the Untamed,NULL,NULL
Death No Rattle,"Died without triggering Deathrattle, All The Time",NULL
Defias Cleaner,Battlecry: Silence a minion with Deathrattle.,NULL
Blood Fury,NULL,NULL
Enraged!,Give your hero +2 attack this turn.,NULL
Argent Squire,Divine Shield,NULL
Old Horde Orc,Taunt,NULL
Ball of Spiders,Summon three 1/1 Webspinners.,NULL
Free Cards,Your cards cost (0) for the rest of the game.,NULL
Slimed,NULL,NULL
Many Imps!,Summon 2 Icky Imps.,NULL
Unleash the Hounds,"For each enemy minion, summon a 1/1 Hound with Charge.",NULL
Am'gam Rager,NULL,NULL
Bog Creeper,Taunt,NULL
Shield Slam,Deal 1 damage to a minion for each Armor you have.,NULL
Inner Rage,+2 Attack.,NULL
Coren Direbrew,NULL,NULL
Kabal Songstealer,Battlecry: Silence a minion.,NULL
Nozdormu,Players only have 15 seconds to take their turns.,DRAGON
Gruul,"At the end of each turn, gain +1/+1 .",NULL
Dynamite,Deal 10 damage.,NULL
Silverware Golem,NULL,NULL
Jade Golem,NULL,NULL
Mark of the Lotus,Give your minions +1/+1.,NULL
Bomb Squad,"Battlecry: Deal 5 damage
to an enemy minion.
Deathrattle: Deal 5 damage
to your hero.",NULL
Museum Curator,Battlecry: Discover a Deathrattle card.,NULL
Skelesaurus Hex,"At the end of your turn, give each player a random card. It costs (0).",NULL
Enhance-o Mechano,"Battlecry: Give your other minions Windfury, Taunt, or Divine Shield
(at random).",MECHANICAL
Arcane Nullifier X-21,"Taunt
Can't be targeted by spells or Hero Powers.",MECHANICAL
Mechanical Dragonling,NULL,MECHANICAL
Bone Minions,"Hero Power
Summon two 2/1 Bone Constructs.",NULL
Pyroblast,Deal 10 damage.,NULL
Cairne Bloodhoof,Deathrattle: Summon a 4/5 Baine Bloodhoof.,NULL
Void Crusher,Inspire: Destroy a random minion for each player.,DEMON
Necrotic Poison,Destroy a minion.,NULL
Enigmatic Portal,"At the start of next turn, your hero is transformed and sucked through the Twisting Nether.",NULL
Gorehowl,Attacking a minion costs 1 Attack instead of 1 Durability.,NULL
Target Dummy,Taunt,MECHANICAL
Destroy Hero Power,Destroy a player's Hero Power.,NULL
Rhonin,Deathrattle: Add 3 copies of Arcane Missiles to your hand.,NULL
Living Bomb,"Choose an enemy minion. If it lives until your next turn, deal 5 damage to all enemies.",NULL
Serrated Shadows,NULL,NULL
Gadgetzan Jouster,"Battlecry: Reveal a minion in each deck. If yours costs more, gain +1/+1.",NULL
Summoning Portal,"Your minions cost (2) less, but not less than (1).",NULL
Dark Arakkoa,"Taunt
Battlecry: Give your C'Thun
+3/+3 (wherever it is).",NULL
Activate Magmatron,"Hero Power
Activate Magmatron!",NULL
Magnataur Alpha,"Also damages the minions next to whomever
he attacks.",NULL
Arcanite Reaper,NULL,NULL
Mr. Bigglesworth,This is Kel'Thuzad's kitty.,BEAST
Lord Victor Nefarius,NULL,NULL
Hobart Grapplehammer,Battlecry: Give all weapons in your hand and deck +1 Attack.,NULL
Heart of Fire,Deal 3 damage.,NULL
Goldthorn,Give your minions +6 Health.,NULL
Lord Slitherspear,"At the end of your turn, summon 1/1 Hungry Naga for each enemy minion.",NULL
Darnassus Aspirant,"Battlecry: Gain an empty Mana Crystal.
Deathrattle: Lose a Mana Crystal.",NULL
Hyena,NULL,BEAST
Bloodfury Potion,"Give a minion +3 Attack.
If it's a Demon, also
give it +3 Health.",NULL
Spellbreaker,Battlecry: Silence a minion.,NULL
Thrallmar Farseer,Windfury,NULL
Jade Blossom,Summon a{1} {0} Jade Golem. Gain an empty Mana Crystal.,NULL
Flame Imp,Battlecry: Deal 3 damage to your hero.,DEMON
Unholy Shadow,"Hero Power
Draw 2 cards.",NULL
Rusty Hook,NULL,NULL
Huge Ego,Increased stats.,NULL
Spellslinger,Battlecry: Add a random spell to each player's hand.,NULL
Armor Up!,"Hero Power
Gain 2 Armor.",NULL
Cleave,Deal 7 damage to a minion and its owner.,NULL
Haunted Creeper,Deathrattle: Summon two 1/1 Spectral Spiders.,BEAST
Elemental Eruption,Deal 4-6 damage to all other minions.,NULL
Lady Blaumeux,Your hero is Immune.,NULL
Tol'vir Hoplite,Deathrattle: Deal 5 damage to both heroes.,NULL
Young Priestess,"At the end of your turn, give another random friendly minion +1 Health.",NULL
Enraged,+2 Attack.,NULL
Mounted Raptor,Deathrattle: Summon a random 1-Cost minion.,BEAST
Bring it on!,+1 Attack and Taunt.,NULL
Luck of the Coin,Going second grants you increased Health.,NULL
Scarab,Taunt,BEAST
Avian Watcher,"Battlecry: If you control a Secret, gain +1/+1
and Taunt.",NULL
Shady Dealer,"Battlecry: If you have a Pirate, gain +1/+1.",NULL
Nether Breath,"Change the Health of
all enemy minions to 1.",NULL
Armorsmith,"Whenever a friendly minion takes damage, gain 1 Armor.",NULL
Lowly Squire,Inspire: Gain +1 Attack.,NULL
Blessing of the Sun,Immune.,NULL
Cauldron,NULL,NULL
Miniature,"Mini-sized, set to 1/1",NULL
Upgrade!,"If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.",NULL
Polymorph: Boar,Transform a minion into a 4/2 Boar with Charge.,NULL
Divine Spirit,Double a minion's Health.,NULL
Fencing Coach,"Battlecry: The next time you use your Hero Power, it costs (2) less.",NULL
Warhorse Trainer,Your Silver Hand Recruits have +1 Attack.,NULL
Arcanotron,Both players have Spell Damage +2.,MECHANICAL
Spawn of Shadows,Inspire: Deal 4 damage to each hero.,NULL
Charged Hammer,Deathrattle: Your Hero Power becomes 'Deal 2 damage.',NULL
Finders Keepers,Discover a card with Overload. Overload: (1),NULL
Armor Plated,Increased Attack.,NULL
Pour a Round,Draw a card for each of your Plates.,NULL
Perdition's Blade,Battlecry: Deal 1 damage. Combo: Deal 2 instead.,NULL
"Mukla, Tyrant of the Vale",Battlecry: Add 2 Bananas to your hand.,BEAST
Yong Woo,Your other minions have +3 Attack and Charge.,NULL
Grove Tender,Choose One - Give each player a Mana Crystal; or Each player draws a card.,NULL
Alms of Light,Restore 8 Health to each hero.,NULL
Alarm-o-Bot,"At the start of your turn,
swap this minion with a
   random one in your hand.",MECHANICAL
Orsis Guard,Divine Shield,NULL
Pilfered Power,Gain an empty Mana Crystal for each friendly minion.,NULL
Doppelgangster,Battlecry: Summon 2 copies of this minion.,NULL
Ragnaros the Firelord,NULL,NULL
Spirit Claws,"Has +2 Attack while you
have Spell Damage.",NULL
Charge,Has Charge.,NULL
Gelbin Mekkatorque,Battlecry: Summon an AWESOME invention.,NULL
Bloodsail Corsair,"Battlecry: Remove
1 Durability from your
opponent's weapon.",PIRATE
Pit Lord,Battlecry: Deal 5 damage to your hero.,DEMON
Divine Strength,Give a minion +1/+2.,NULL
Silver Hand Regent,Inspire: Summon a 1/1 Silver Hand Recruit.,NULL
Knife,Plates have Taunt.,NULL
Mirror Image,Taunt,NULL
Ogre Brute,50% chance to attack the wrong enemy.,NULL
Shady Deals,NULL,NULL
Benediction Splinter,Restore #10 Health to ALL characters.,NULL
Carrion Grub,NULL,BEAST
Booty Bay Bodyguard,Taunt,NULL
Headcrack,Deal 2 damage to the enemy hero. Combo: Return this to your hand next turn.,NULL
Barnes,Battlecry: Summon a 1/1 copy of a random minion in your deck.,NULL
Crush,"Destroy a minion. If you have a damaged minion, this costs (4) less.",NULL
SI:7 Agent,Combo: Deal 2 damage.,NULL
Lumbering Golem,NULL,NULL
Transcendence,"Until you kill Cho's minions, he can't be attacked.",NULL
Lord of the Arena,Taunt,NULL
Lady Naz'jar,"At the end of your turn, replace all other minions with new ones of the same Cost.",NULL
Eric Del Priore,Has Taunt if it's 3 AM.,NULL
Sporeburst,Deal 1 damage to all enemy minions. Summon a Spore.,NULL
Party Elemental,Comes with a party!,NULL
Floating Watcher,"Whenever your hero takes damage on your turn, gain +2/+2.",DEMON
Whirling Ash,Windfury,NULL
Slithering Guard,Taunt,NULL
Tinkertown Technician,"Battlecry: If you have a Mech, gain +1/+1 and add a Spare Part to your hand.",NULL
Snake Ball,Summon five 1/1 snakes.,NULL
Bolster,Give your Taunt minions +2/+2.,NULL
Enfeeble,Health changed to 1.,NULL
Inner Fire,This minion's Attack is equal to its Health.,NULL
Mark of Y'Shaarj,"Give a minion +2/+2.
If it's a Beast, draw
a card.",NULL
Kill Millhouse!,Spells cost (0) this turn!,NULL
Fearsome Doomguard,NULL,DEMON
Tinker's Sharpsword Oil,Give your weapon +3 Attack. Combo: Give a random friendly minion +3 Attack.,NULL
